id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,pass_2pt,rush_yd,rush_td,rush_2pt,rec,rec_yd,rec_td,rec_2pt,fumbles,pat_made,fg_miss,fg_0_39,fg_40_49,fg_50_59,fg_60_plus,sack,blk_kick,def_int,fumble_recovery,safety,krt_td,prt_td,int_ret_td,fum_ret_td,blk_kick_ret_td,two_pt_ret,one_pt_safety
sleeper:10236,Dalton Kincaid,TE,BUF,7,87.3,0,0,0,0,0,0,0,63.0,701.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5849,Kyler Murray,QB,MIN,6,87.8,3062.0,17.0,9.0,1.0,455.0,3.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:6806,J.K. Dobbins,RB,DEN,12,88.8,0,0,0,0,732.0,6.0,0,26.0,190.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8134,Khalil Shakir,WR,BUF,7,90.5,0,0,0,0,10.0,0,0,69.0,725.0,4.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12493,Oronde Gadsden,TE,LAC,,90.5,0,0,0,0,0,0,0,60.0,673.0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11560,Caleb Williams,QB,CHI,5,90.9,3651.0,28.0,10.0,1.0,373.0,3.0,0,2.0,22.0,1.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8408,Jordan Mason,RB,MIN,6,92.5,0,0,0,0,600.0,5.0,0,14.0,100.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7523,Trevor Lawrence,QB,JAX,,93.8,3788.0,26.0,12.0,1.0,339.0,5.0,1.0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:11637,Keon Coleman,WR,BUF,7,94.1,0,0,0,0,6.0,0,0,14.0,182.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4039,Cooper Kupp,WR,SEA,8,94.5,0,0,1.0,0,0,0,0,32.0,364.0,3.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:3163,Jared Goff,QB,DET,8,95.4,4104.0,30.0,10.0,2.0,53.0,1.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8142,Alec Pierce,WR,IND,,95.5,0,0,0,0,7.0,0,0,57.0,918.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4037,Chris Godwin,WR,TB,9,97.8,0,0,0,0,6.0,0,0,68.0,750.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9753,Zach Charbonnet,RB,SEA,8,99.1,0,0,0,0,403.0,3.0,1.0,17.0,119.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:9487,Parker Washington,WR,JAX,,99.7,0,0,0,0,53.0,0,0,65.0,824.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
sleeper:9756,Jordan Addison,WR,MIN,6,99.8,0,0,0,0,22.0,1.0,0,58.0,784.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:3214,Hunter Henry,TE,NE,,100.1,0,0,0,0,0,0,0,55.0,624.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8154,Brian Robinson,RB,ATL,,100.5,0,0,0,0,310.0,2.0,0,11.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:12533,Jacory Croskey-Merritt,RB,WAS,12,101.9,0,0,0,0,509.0,3.0,0,16.0,115.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5022,Dallas Goedert,TE,PHI,9,103.7,0,0,0,0,0,0,0,59.0,656.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8110,Jake Ferguson,TE,DAL,10,105.3,0,0,0,0,1.0,0,0,70.0,618.0,5.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:8183,Brock Purdy,QB,SF,,105.8,3824.0,29.0,13.0,2.0,237.0,3.0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:5001,Dalton Schultz,TE,HOU,,106.2,0,0,0,0,0,0,0,60.0,598.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7567,Kenneth Gainwell,RB,TB,,109.8,0,0,0,0,380.0,3.0,0,40.0,302.0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:4066,Evan Engram,TE,DEN,12,110.1,0,0,0,0,7.0,0,0,34.0,308.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeper:7002,Juwan Johnson,TE,NO,,110.3,0,0,0,0,0,0,0,58.0,630.0,4.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
